filename,url,filesize,object,keplerid,obsmode,campaign,data_rel,channel,module,output,ra_obj,dec_obj,kepmag,cadences,lc_start,lc_end,gain,readnois,meanblck,cdpp3_0,cdpp6_0,cdpp12_0,npix,naxis1,naxis2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,pc1_1,pc1_2,pc2_1,pc2_2,crval1p,crval2p
ktwo202154314-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/54000/ktwo202154314-c00_lpd-targ.fits.gz,17.3,EPIC 202154314,202154314,long cadence,0,2,81,24,1,92.6356,23.771,9.7,3753,56728.02306922,56804.68993932,117.02,96.284056,717,,,,797,27,30,15.274884685739607,18.034632574752152,92.63560000005,23.771,-0.001103682805475,0.001103682805475,-0.21874189931161253,0.9748761353341973,-0.9767319174344771,-0.21855603898644063,796,130
ktwo202139008-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139008-c00_lpd-targ.fits.gz,11.5,EPIC 202139008,202139008,long cadence,0,2,70,20,2,93.9638,25.5707,15.5,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,525,23,23,9.522269645068945,10.347873365309823,93.96379999995001,25.5707,-0.00110296633598858,0.00110296633598858,-0.9762049987202907,0.2118185274345541,0.21230139748449633,0.978309506573402,867,141
ktwo202139012-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139012-c00_lpd-targ.fits.gz,10.3,EPIC 202139012,202139012,long cadence,0,2,70,20,2,93.26696,25.63455,15.8,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,483,22,22,9.355980909857863,8.851925886506251,93.26695999995,25.63455,-0.001103047473609,0.001103047473609,-0.9750430829199259,0.21738095915452768,0.21720349570662217,0.9771712783380917,324,321
ktwo202139013-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139013-c00_lpd-targ.fits.gz,11.3,EPIC 202139013,202139013,long cadence,0,2,70,20,2,93.52117,25.66411,13.8,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,528,23,23,9.708321368281418,10.156250453511802,93.52117000005,25.66411,-0.001103399288976,0.001103399288975738,-0.9756833964607347,0.2153945768676946,0.21537781444447232,0.9773752328370392,532,301
ktwo202139015-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139015-c00_lpd-targ.fits.gz,11.0,EPIC 202139015,202139015,long cadence,0,2,70,20,2,93.73365,25.64577,14.8,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,528,23,23,9.468877707254137,9.759250083361735,93.73365,25.64577,-0.001103379619435,0.001103379619434813,-0.9760382777898821,0.2137019138261475,0.2138767477204678,0.9777220334535496,698,248
ktwo202139017-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139017-c00_lpd-targ.fits.gz,10.3,EPIC 202139017,202139017,long cadence,0,2,69,20,1,94.34668,25.66506,15.8,3753,56728.02306922,56804.68993932,109.54,81.432036,725,,,,484,22,22,14.045988561690137,9.045513711853204,94.34668000005,25.66506,-0.001102266605404,0.001102266605404,0.976112757615968,0.20862676558426607,-0.20973729518376527,0.9796441845703582,1011,160
ktwo202140013-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/40000/ktwo202140013-c00_lpd-targ.fits.gz,11.3,EPIC 202140013,202140013,long cadence,0,2,32,10,4,100.4778,28.7765,13.8,3753,56728.02306922,56804.68993932,115.49,84.642621,704,,,,526,23,23,14.544820193934356,13.561613854051217,100.4778,28.7765,-0.001106329526351,0.001106329526351082,0.9883589765247806,-0.16544529456335663,-0.16460388718182892,-0.9842244412241032,786,142
ktwo202140059-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/40000/ktwo202140059-c00_lpd-targ.fits.gz,10.1,EPIC 202140059,202140059,long cadence,0,2,12,4,4,105.03476,24.26329,15.4,3753,56728.02306922,56804.68993932,113.52,84.209136,713,,,,483,22,22,10.365667383778145,14.278219716952265,105.03475999995,24.26329,-0.001101108897737,0.001101108897737,0.13415227808793145,0.9888505698122753,0.9928245365641932,-0.1360013527532535,20,309
ktwo202140094-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/40000/ktwo202140094-c00_lpd-targ.fits.gz,10.0,EPIC 202140094,202140094,long cadence,0,2,11,4,3,105.13907,25.72728,15.5,3753,56728.02306922,56804.68993932,104.7,83.2365,749,,,,484,22,22,12.673344998724815,14.27613058793505,105.13906999995,25.72728,-0.001102825703342,0.001102825703342,-0.13413757740385335,0.9893242726194394,-0.9926198944463622,-0.1340194544079453,880,46
ktwo202139006-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139006-c00_lpd-targ.fits.gz,11.2,EPIC 202139006,202139006,long cadence,0,2,70,20,2,92.94247,25.57846,15.9,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,526,23,23,9.609921681270862,10.079542794569079,92.94247000005,25.57846,-0.001102380061535,0.001102380061535,-0.9741076950290505,0.21990640262499825,0.2195305950405709,0.9770211460552315,54,328
ktwo202139007-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139007-c00_lpd-targ.fits.gz,11.2,EPIC 202139007,202139007,long cadence,0,2,70,20,2,93.40106,25.56633,14.7,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,527,23,23,8.838401550574758,9.833891021121843,93.40105999995001,25.56633,-0.001102735756903,0.001102735756903,-0.9750892346221083,0.2162787060792063,0.21628196686287385,0.9775749564377554,418,236
ktwo202139037-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139037-c00_lpd-targ.fits.gz,11.2,EPIC 202139037,202139037,long cadence,0,2,70,20,2,93.11466,25.75878,14.2,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,528,23,23,9.615541204098577,9.674464948735704,93.11466000000001,25.75878,-0.001103646171193,0.001103646171193,-0.9751572292401108,0.21865348165466994,0.2182460669268615,0.9765396892468978,227,457
ktwo202139038-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139038-c00_lpd-targ.fits.gz,10.4,EPIC 202139038,202139038,long cadence,0,2,70,20,2,93.0687,25.80351,15.3,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,484,22,22,8.912345655134004,9.374560364151648,93.0687,25.80351,-0.001103860390822,0.001103860390821706,-0.975219418929464,0.21903975914784848,0.218562134640558,0.976319979061408,200,505
ktwo202139039-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139039-c00_lpd-targ.fits.gz,11.2,EPIC 202139039,202139039,long cadence,0,2,70,20,2,93.2151,25.80092,14.2,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,528,23,23,9.874708175562773,10.077028963967791,93.2151,25.80092,-0.001103987307934,0.001103987307934,-0.9755354061818413,0.21789166519284883,0.21750634296018756,0.9764967777754142,315,476
ktwo202139048-c00_lpd-targ.fits.gz,http://archive.stsci.edu/missions/k2/target_pixel_files/c0/202100000/39000/ktwo202139048-c00_lpd-targ.fits.gz,11.5,EPIC 202139048,202139048,long cadence,0,2,70,20,2,92.96896,25.83305,15.1,3753,56728.02306922,56804.68993932,107.05,80.961915,725,,,,528,23,23,9.445650844092938,9.261702334550705,92.96896000004999,25.83305,-0.001103921243208,0.001103921243208,-0.9751016931345496,0.21983648437066364,0.2192744302179659,0.9760986847319199,126,549
