object,keplerid,channel,module,output,campaign,obsmode,ra_obj,dec_obj,kepmag,lc_start,lc_end,gain,readnois,naxis1,naxis2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,pc1_1,pc1_2,pc2_1,pc2_2,crval1p,crval2p,cadenceno_begin,cadenceno_end,path
EPIC 220115897,220115897,83,24,3,4,long cadence,52.39128,18.42499,17.5,57061.2950452,57132.1792166,97.18,138.957682,11,10,6.2024151959,5.6319465766,52.39128,18.42499,-0.00110701861769,0.00110701861769,0.461329252224,-0.88871859789,0.886273557948,0.460305097086,885,1017,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115897-c04_lpd-targ.fits.gz
EPIC 220115898,220115898,71,20,3,4,long cadence,52.498074,22.240559,16.2,57061.2950452,57132.1792166,115.08,83.214348,12,10,7.20680820528,5.43583757318,52.498074,22.240559,-0.00110246879729,0.00110246879729,-0.883982479449,-0.462558940369,0.464555193097,-0.888157695872,135,864,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115898-c04_lpd-targ.fits.gz
EPIC 220115899,220115899,81,24,1,4,long cadence,53.08616,19.33507,18.86,57061.2950452,57132.1792166,117.02,96.284056,11,10,6.23785857905,5.45093061332,53.0861599999,19.33507,-0.00110385414211,0.00110385414211,-0.457409699211,0.88858360909,-0.889914099152,-0.457438743333,869,231,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115899-c04_lpd-targ.fits.gz
EPIC 220115900,220115900,79,23,3,4,long cadence,53.19083,15.517188,19.9,57061.2950452,57132.1792166,97.33,83.139286,11,9,6.16062464423,5.14161377911,53.1908299999,15.517188,-0.00110529268009,0.00110529268009,0.454856970833,-0.890981789803,0.890495268656,0.454175586983,802,431,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115900-c04_lpd-targ.fits.gz
EPIC 220115901,220115901,70,20,2,4,long cadence,53.308491,21.7531,16.74,57061.2950452,57132.1792166,107.05,80.961915,12,10,7.77549766767,5.62647163692,53.308491,21.7531,-0.00110474079045,0.00110474079045,-0.888389674213,0.459397961957,0.459000766384,0.888276852256,534,586,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115901-c04_lpd-targ.fits.gz
EPIC 220115902,220115902,77,23,1,4,long cadence,53.64261,16.62699,18.64,57061.2950452,57132.1792166,112.71,81.286452,11,10,6.85447229283,5.55538416744,53.64261,16.62699,-0.00110410032012,0.00110410032012,-0.452672685625,0.890879035301,-0.892244056252,-0.453127574132,693,918,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115902-c04_lpd-targ.fits.gz
EPIC 220115903,220115903,70,20,2,4,long cadence,53.646341,21.847546,17.48,57061.2950452,57132.1792166,107.05,80.961915,11,10,6.29192220176,5.55195714707,53.6463409999,21.847546,-0.00110531349397,0.00110531349397,-0.889747821104,0.457440819711,0.457038674702,0.888939354775,827,532,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115903-c04_lpd-targ.fits.gz
EPIC 220115904,220115904,76,22,4,4,long cadence,54.20229,13.38661,18.63,57061.2950452,57132.1792166,105.23,84.594397,11,10,6.43257838085,5.01947509984,54.20229,13.38661,-0.00110358887406,0.00110358887406,-0.447962586453,-0.892524701123,-0.894984396942,0.449154292555,957,348,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115904-c04_lpd-targ.fits.gz
EPIC 220115906,220115906,65,19,1,4,long cadence,54.759087,20.69986,18.1,57061.2950452,57132.1792166,113.32,85.590596,11,10,6.19467935793,5.34450554649,54.759087,20.69986,-0.00110446936658,0.00110446936658,-0.449662922922,0.893029257399,-0.893093931919,-0.450206096325,418,987,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115906-c04_lpd-targ.fits.gz
EPIC 220115907,220115907,73,22,1,4,long cadence,55.134583,13.878714,19.3,57061.2950452,57132.1792166,107.06,79.053104,12,10,7.77615395913,5.68612928269,55.1345830001,13.878714,-0.00110399429616,0.00110399429616,-0.444661557175,0.894440214879,-0.896434473173,-0.445716419583,924,872,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115907-c04_lpd-targ.fits.gz
EPIC 220115908,220115908,51,15,3,4,long cadence,55.51523,23.45923,18.5,57061.2950452,57132.1792166,109.32,81.465264,11,10,6.43090599549,5.11658046211,55.5152299999,23.45923,-0.00110216535775,0.00110216535775,-0.891627945319,-0.447087357405,0.449238547977,-0.896283173869,303,1030,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115908-c04_lpd-targ.fits.gz
EPIC 220115909,220115909,63,18,3,4,long cadence,55.6699,16.56733,16.6,57061.2950452,57132.1792166,112.5,86.18625,11,10,6.54943834207,5.26031720334,55.6699000001,16.56733,-0.00110436396656,0.00110436396656,0.443899648607,-0.896277073334,0.896212986995,0.443219199541,682,198,103744,107213,http://archive.stsci.edu/missions/k2/target_pixel_files/c4/220100000/15000/ktwo220115909-c04_lpd-targ.fits.gz
